,car_id,target_reg
362,I-2258340t,72.96471
363,Y-1108881y,38.0485
364,C-2407162B,42.444874
365,k-1021806U,37.522682
366,B58815481j,33.27571
367,Z-1497483y,57.072018
368,m-2038148P,46.265545
369,W20323505Z,71.82374
370,h18172982Y,49.286964
371,C-5107111N,35.071022
372,T11570167i,32.914703
373,E-2189846g,37.191578
374,J-9051627R,49.42586
375,k-1266231T,68.30937
376,e-4843883N,42.56519
377,V19603857b,36.469627
378,a10075304B,75.368965
379,j20806666W,74.61746
380,p13183205N,32.309788
381,F-1408164F,49.386112
382,f16848135A,49.124157
383,m18276402k,51.990234
384,O-4852964p,54.12708
385,p-1032774f,31.64901
386,K-2141030h,31.2015
387,x33340734F,54.644703
388,A-5539031E,72.64047
389,K-2121488X,31.22358
390,S-2104296W,48.34682
391,V-4730687q,33.5814
392,m-1018494E,51.43156
393,f12953922O,31.798084
394,a15606967c,45.111744
395,T-2050577H,33.006367
396,l21058873t,32.822666
397,S54991647N,35.431713
398,O-1778305H,58.5601
399,r-9019459m,49.91318
400,J-1701327Z,33.27784
401,W-1085488J,49.813515
402,H29930196K,33.503777
403,t17442755k,48.29995
404,N16782443w,34.404926
405,G83616598P,62.475563
406,q-7529997V,31.569067
407,m-2601611a,53.21145
408,r69432919t,33.201466
409,J85546174E,41.89095
410,F-1506247r,33.601276
411,Y21723655j,46.44969
412,Q15261602W,45.482143
413,M11261740O,42.6421
414,K50534665N,37.00883
415,Y-1015822T,50.77924
416,z-9596926C,68.23473
417,T-8671431r,30.71872
418,R-2077630y,47.94187
419,I96387228J,33.43537
420,z-9815533M,43.130024
421,I15837837J,50.67251
422,P56763603O,31.841377
423,h-1396839K,33.145123
424,r-1477676H,31.040594
425,U42030492Z,32.7117
426,h64108495H,32.979027
427,l-8882948y,31.31569
428,n-8099641m,35.092716
429,f-1164209J,47.986668
430,g-2072833K,34.879147
431,R10631147V,35.23158
432,d-1627526q,71.92386
433,k-2116384m,55.20279
434,y12532736D,39.96842
435,S18268647a,35.493458
436,D-1193769d,30.834986
437,z49508882q,37.111828
438,l13511253d,34.492386
439,y11003726G,32.81027
440,S55044905B,71.83133
441,q-1419523q,77.02244
442,i12167734p,54.524483
443,n18966581A,36.051453
444,s-2225812u,38.401524
445,g99706283N,34.80788
446,k-8065294L,43.36807
447,D-3731198o,46.619854
448,R-1511509a,45.400227
449,W-1152410B,36.882767
450,A-6746020J,51.28522
451,i62564137B,59.97584
452,V81342356X,42.226055
453,m70884293y,51.50732
454,T-1440241N,32.757435
455,J16760665u,32.62521
456,B30016393c,39.45575
457,n10206436k,45.53632
458,y15691728a,33.36873
459,j-1923026R,34.595963
460,p-2070685P,49.474255
461,e22835001P,32.972298
462,f-2044867Y,34.3751
463,Q-1914888q,41.74524
464,h-2696405T,43.22141
465,G-1153171e,37.1722
466,n-1502387M,54.278545
467,y40441306G,32.021915
468,B22246797F,62.793407
469,s14991094w,39.589077
470,a-1190397Y,35.021126
471,i11542071C,52.886703
472,l-2588047U,49.208096
473,Q16201384v,36.333076
474,w-7781882Z,31.61116
475,s77766899D,46.516006
476,z-1503313M,32.00545
477,l52568818B,44.345226
478,v-1508530W,57.601868
479,m13083528W,33.26987
480,z-1243195L,33.302246
481,b18857695O,45.6365
482,v-1905656K,51.299255
483,P-6659279q,41.842335
484,h13431746I,43.788937
485,I71388786G,34.886417
486,R-1701492N,54.30025
487,y78999678J,63.897774
488,a-1426275y,50.79807
489,L84463953R,38.9685
490,Z-2128621C,33.257618
491,M18466047W,45.40115
492,g21645452f,41.276806
493,o-1663812b,34.271866
494,Q-1984603t,37.55308
495,q23501901h,46.397694
496,d-5544396q,31.805931
497,s-7084701f,49.52954
498,g10084745U,33.64863
499,D-9891385q,52.37771
500,D11776354f,40.525215
501,B18579200J,34.9587
502,X73810314E,33.609905
503,s-2223156w,44.074337
504,D82568273x,32.990627
505,k-1107234s,40.871372
506,T-1805505r,66.09873
507,u-5015974t,50.79832
508,t-8201245H,30.061829
509,X24084222O,41.238293
510,K-1916013Q,33.257492
511,J10576054I,50.399227
512,g21476323Y,51.12905
513,J22595982W,31.116137
514,d15745111A,46.27088
515,V20296571Z,32.574318
516,t78589983m,40.620102
517,R-6055154h,34.82991
518,o-5397363T,58.02602
519,y-1784222v,33.9738
520,S-1513382W,40.64888
521,g-5563252F,42.866463
522,a-1166334r,49.18398
523,Y21096922W,33.65832
524,s10535398K,30.375235
525,Z-5188222t,41.712868
526,T22900577z,42.760983
527,i10344980A,68.45274
528,X-2263190K,30.604673
529,a-2111343W,41.916977
530,k-1183222H,32.244904
531,x42906942Y,30.45781
532,m16863308b,45.53855
533,Z10247738u,41.023434
534,i12798082E,32.713333
535,C91514695x,52.834377
536,h61870657i,43.87463
537,C-8768079q,32.364452
538,O-7894514e,62.568184
539,Z-1926882U,43.36807
540,N-3121550V,54.868385
541,z-1254537O,34.906155
542,u-1514787e,32.224953
543,n-4360079R,43.00334
544,O-2113046Z,45.90525
545,d13819532H,34.07765
546,d54261887d,34.671356
547,P-2048739B,33.215088
548,f-1825133R,33.540363
549,q-9928373B,32.56476
550,S29542128Q,67.59229
551,J-1782910O,44.456657
552,t17410389g,69.433304
553,Z17995139Z,48.69955
554,Z11671085y,45.46181
555,D-7723622B,46.203194
556,N-1539010p,43.046734
557,u54154743P,49.00962
558,j16845365O,40.972996
559,k-1171716I,32.49271
560,G81601770L,32.124767
561,K-3529763Q,33.064476
562,b-1404013d,31.211803
563,O-1398534Y,32.346233
564,l69679835h,38.64668
565,G14568186a,54.049656
566,a-9442555A,38.674347
567,G-1689492g,33.697094
568,W12690163c,34.83789
569,l17843143j,33.308334
570,Z76981204Y,34.029137
571,b16524531u,47.3466
572,P83526152o,42.62267
573,z-4612131R,32.77562
574,s50463458T,32.6416
575,u12928592s,31.165094
576,U-1897169L,69.01554
577,j-1549044A,58.24588
578,Q87875664U,73.59985
579,q13885185m,31.56635
580,C16715520C,31.970667
581,T-1727751h,54.837006
582,m27082215N,32.476334
583,e-8788520s,32.76837
584,v36899226P,38.353714
585,Y-2254716H,43.626198
586,D-3425990U,37.72028
587,b-1050475p,48.4842
588,w-1941558Q,49.03213
589,d-1134540I,46.81408
590,K30520180u,35.535206
591,q71640430n,34.70755
592,y10948537e,32.10224
593,a16152476X,32.8076
594,F-7462902B,48.38093
595,t-3967937s,41.37775
596,o-1118236T,33.808426
597,g-1760425A,36.57096
598,b-5227653R,51.487644
599,h-7408890w,32.66986
600,K70391511e,34.410347
601,V13438854p,30.840666
602,g-1740147b,31.872944
603,J-1324072f,69.008766
604,g53382924v,40.8641
605,x33005281c,32.233242
606,e24148786o,44.471325
607,I-1503695V,48.767788
608,E58388206y,49.326866
609,y13484815Y,70.88144
610,R-2027359R,37.134266
611,Z17729553x,39.076424
612,H-1512213s,34.646915
613,V-1552956h,43.03485
614,H15345413o,32.666515
615,w17370680J,33.14391
616,J15476551r,62.559258
617,c-2250495g,35.713726
618,Z17599412A,46.752384
619,v57643253w,43.90221
620,V-5494479D,51.957603
621,g-1126074r,33.754208
622,Z80579540o,38.661434
623,c-7272329q,31.237633
624,z21450941n,35.099136
625,k-2034944s,47.3116
626,B-1760099A,49.74499
627,a61936474Y,33.712074
628,k86159975d,33.197124
629,A10692422a,33.607605
630,r11362699a,32.089573
631,B-5479705C,72.04002
632,I98930031r,32.67287
633,Z-1084098i,33.873558
634,b55045663j,38.01692
635,h10096493s,33.371513
636,n13675758u,53.81934
637,v-1469151Y,32.383724
638,R21100020a,32.77414
639,H-1226800z,32.249817
640,l13980749p,62.137825
641,D-1518430R,74.28499
642,h13825532e,55.486633
643,Q18803510e,35.021126
644,w69467024a,30.640789
645,a16149566K,50.81595
646,R10923215L,35.009857
647,H15481815Q,34.2518
648,C-5040526N,45.0129
649,m-2182440Q,31.9172
650,P-4006382C,38.459858
651,Y-2235574M,50.85053
652,H-1070903M,33.276806
653,w16163650F,55.422573
654,I21674635Q,32.398857
655,Q-4587219M,32.275337
656,N10540578u,38.061867
657,w-9916167W,39.01863
658,g-1742741c,33.477173
659,n-1575803E,45.90748
660,N31059484x,70.954735
661,H-1342764P,32.34296
662,X58767632q,32.371304
663,S20355997J,46.42717
664,q30806358i,59.64878
665,W-1775855Q,52.78635
666,j92079780S,34.304665
667,f63189062N,30.919897
668,x-1205366S,37.259384
669,H-1902314v,33.16122
670,f10226409O,33.39673
671,Q-4235244W,31.622885
672,P-1715787u,39.508053
673,x-1532496K,33.992638
674,s-1076835x,33.74665
675,m76785981z,48.08678
676,u-3215458S,39.06434
677,H-1919071i,70.00107
678,p-1139197T,31.888538
679,R95310344Y,44.206062
680,e22646530u,50.475574
681,o49311084b,32.28066
682,x99598782E,34.485413
683,Q-8465743r,52.4585
684,K13600113i,31.976597
685,x55379265k,30.505749
686,F-1518753o,37.946888
687,e-2020384H,47.462223
688,n-4605215n,44.432
689,q-4584627S,70.319664
690,O78712164p,32.714195
691,j-1598707G,50.710773
692,d-1282472g,63.781517
693,h-2287342p,33.918972
694,s-7266626x,44.832237
695,z-2843006O,33.36345
696,m21557315K,34.272743
697,j18870600U,43.44145
698,H-7836096t,34.86939
699,k19151173f,45.328754
700,g-1280182Z,46.05503
701,d-6211776r,33.71409
702,u-1590555V,49.28085
703,c-1204255L,34.360992
704,f-8810014g,33.57969
705,S11009197l,31.17865
706,g-2087791I,38.540012
707,V12754137r,47.638367
708,T-1769393Z,33.18516
709,I-1117298r,72.4795
710,P90790412Q,31.588148
711,c-7401486X,32.587414
712,A21009715v,37.159397
713,P94512494l,33.771404
714,J58385372M,52.13102
715,z11059333N,47.725792
716,r13675823Y,42.0279
717,O23192334Z,33.724464
718,h72663703o,72.15488
719,u39852752H,50.955994
720,y75359172F,67.98425
721,C63413357V,52.1419
722,H-2218041i,51.5927
723,S12392431C,52.170574
724,c10273234z,74.69289
725,J-1675931Y,32.146797
726,r15326588O,33.63989
727,O22786315O,60.956734
728,M14034762V,33.12296
729,d-8796835F,64.91021
730,L-1687146I,33.588192
731,a16452738i,33.330185
732,e-1589877h,32.05108
733,w-2228220D,50.811344
734,v73920097R,33.660095
735,B10305712m,44.320045
736,w17382345v,50.2329
737,h86663077a,31.6209
738,d-1261412O,32.4907
739,N-3542587r,47.157433
740,q-1127410X,48.861282
741,m-1248909g,34.399918
742,Z-1350437Z,31.141193
743,G-7472388v,47.569515
744,K18306053r,35.96725
745,t-1389922J,43.874954
746,w13418612e,37.75918
747,d11818528X,32.148
748,v-4393931r,41.743855
749,a15124892o,52.291367
750,l36861534V,50.62805
751,P21146775A,39.575233
752,B-8559176x,51.57564
753,s-1233979x,41.96499
754,N50018445X,41.541267
755,E-4220998I,47.369865
756,D28621238x,55.61094
757,r35592741h,33.19423
758,S-2179649Y,45.0861
759,H-1135423y,52.1513
760,J97849965O,31.404545
761,W21048865S,33.64059
762,P10539613v,46.374996
763,r-6268123s,36.4795
764,A19893808P,33.00617
765,c12458019K,43.67449
766,r16624906R,64.38229
767,s-1701601T,47.869373
768,l-2073691v,64.11357
769,s-1227750Q,33.969467
770,n-1588210t,75.237076
771,L-1950271Y,61.806923
772,L45819441T,44.11381
773,X-1102199i,49.838448
774,Y42307620l,50.458878
775,c11493622d,31.559643
776,s74743326E,33.763767
777,v92032706J,33.727287
778,l40017744S,53.740772
779,F-1561156R,31.637772
780,F-3458483b,50.226353
781,Q-1573004E,55.498795
782,I18762244f,40.601185
783,x61993910W,50.14467
784,f70384121H,70.66833
785,b34607341j,48.880306
786,s-1544537d,40.38989
787,T-2651777L,35.90775
788,Z-1690934p,52.25854
789,z-1383208d,47.647064
790,F-2091675H,34.067192
791,p-1026598C,73.48088
792,C-5229733d,31.7021
793,t-5863497D,33.103508
794,F14893199L,33.316486
795,E-9761828K,41.04952
796,r-3626163O,43.124752
797,D-1975819d,50.388405
798,n86645963R,51.492702
799,I-6482386t,35.153423
800,z11959313t,50.59411
801,d19312186N,60.57624
802,C11156821F,41.4134
803,z19283639B,49.849895
804,D-1246382Y,32.861164
805,D14445025c,32.963814
806,j25666218Y,50.49496
807,E13352088w,32.17962
808,v44596260Q,42.29679
809,c13976633o,46.025978
810,z16908407t,34.54816
811,P15083043i,38.449715
812,p-7727399o,49.534023
813,W-8604738y,37.300396
814,J22352968u,43.697327
815,G-7187279a,48.823223
816,G-1183057B,43.42861
817,E-1556800P,39.982113
818,N16753727A,43.308334
819,U-1860241R,36.44249
820,f92515288W,32.603516
821,q-1553054h,44.8823
822,d-1766392g,34.555508
823,z-9268730t,46.670666
824,D-1137759f,33.45847
825,Z22301798u,49.484657
826,d-2160500k,30.852623
827,f80644426f,38.47081
828,u-1069219e,76.2808
829,V70870192k,70.30178
830,M15122410M,51.00385
831,F19935095V,36.055744
832,m92437987f,37.097496
833,o-1720442f,48.624107
834,Q-2043032T,41.25453
835,k15728070F,34.794056
836,i-4298300y,48.890606
837,C-1549576C,52.18569
838,w-8322851c,47.512928
839,H-2195683Y,34.781204
840,b20675115I,43.572166
841,w14143210k,32.0671
842,s17437438h,34.421215
843,Q12901548n,46.88488
844,I23394317X,32.267307
845,S10630331i,35.009956
846,N15239751A,56.946857
847,t11482362Y,35.045925
848,c-1160907G,32.711647
849,t17520024W,47.967304
850,G16918724z,49.29889
851,T-5518367u,36.30753
852,K-2047259i,32.337902
853,e-2894582l,33.01346
854,u-6774973B,32.986694
855,U-1642617V,36.242596
856,Z19453799u,32.095104
857,V80070476Q,43.488266
858,L-1777501Y,34.10877
859,M-3275863u,47.151287
860,D-1131723O,41.193615
861,s12292138c,32.71682
862,d-2073713s,33.946136
863,U-1440005A,31.507437
864,D17587481H,47.415855
865,O-2089662s,41.88025
866,l-1247871G,73.494865
867,Q48397067x,38.745705
868,G18135304s,41.181877
869,s52741082h,56.658382
870,R37055375H,56.58325
871,t-1505206e,71.950874
872,m-7073285w,30.386827
873,e-1963742G,35.602703
874,R41701461o,31.671349
875,P-1572930P,71.3487
876,m19821763X,43.80531
877,D-5247175p,50.209637
878,I-4491426o,30.924088
879,c-5796367L,64.26643
880,D68676642F,32.94864
881,B87840170Y,46.23378
882,E-1074824O,31.62737
883,L-2105285X,46.602947
884,A18722372t,45.636906
885,t-1655791x,44.136948
886,R26898137t,48.642357
887,x73165245L,72.22804
888,H10144433Z,42.17667
889,o-9460824A,34.2385
890,h-4056890V,34.909866
891,S71464104w,74.79028
892,Q-3414660J,48.12345
893,D24219627Y,70.09222
894,g-5564720R,46.988777
895,g-5327257o,31.432638
896,z16965935R,48.57366
897,W-5886969z,51.106735
898,Y61608416T,33.014698
899,H-5193657t,35.543854
900,r14798824O,48.287743
901,q-1329704C,46.01345
902,W-1162613s,38.913868
903,q-1451412w,52.282536
904,s10825773A,44.45454
905,W-1322764B,33.006367
906,C-1335407d,38.666534
907,Q-1854633d,46.583576
908,j12033464t,35.444183
909,x-1653730E,37.75127
910,L-1459492G,34.461388
911,A18622071d,61.376083
912,G12921056E,48.411587
913,M17587699m,33.997612
914,H11201074S,33.413834
915,g61901962A,75.27741
916,W-3006427Z,49.02918
917,f21354327c,35.44217
918,L-1435343R,32.460938
919,K-9089430v,49.934116
920,u89834900L,44.044994
921,K-6843993d,33.634014
922,g19283665q,33.944553
923,V21055732W,33.06185
924,L20847256I,44.048523
925,K20941520F,40.10154
926,s-1506268E,31.21929
927,s13306845G,54.25603
928,t14118502r,37.812828
929,l-1141377S,35.945488
930,M63300651V,41.030697
931,O-1741687v,50.506714
932,J-1064181u,33.96795
933,R-2596313V,33.533993
934,i-1845254S,34.402203
935,k-1573458g,74.58383
936,Q-7165920T,41.68474
937,K-7253573V,69.93878
938,u-2045579o,47.844486
939,o-7174642t,43.833706
940,W38257448E,40.28181
941,R15758843A,49.045288
942,j-1164533d,40.693916
943,K19878738u,42.22684
944,F-1356357a,46.290188
945,s18773736B,48.699196
946,f-2195380L,32.901867
947,I16894729d,47.23264
948,x73377373J,38.747883
949,A13983367R,51.554512
950,W90386436H,34.303535
951,d-1208731e,32.28571
952,E10689597V,51.907204
953,e18535481H,71.62422
954,C-1401160X,41.95651
955,D-8642892Q,48.403156
956,y-9607515v,76.24117
957,R39433396K,34.43587
958,o14616394R,43.662365
959,r21184266q,44.670914
960,f21015538f,36.51617
961,j18832518Q,40.135143
962,m73046504n,73.64005
963,B-9791729R,51.02013
964,k13021113b,45.303905
965,G89078774t,45.113945
966,r-1060256J,51.168316
967,F-1410401k,50.961006
968,S12437589H,38.70893
969,o-1474795Y,49.95749
970,v-6600194g,32.33102
971,e69316734g,50.78148
972,F14045081A,34.45815
973,p-2049920L,35.253117
974,Z-4995244V,36.069168
975,Q28342682U,42.83208
976,i20932780E,46.09838
977,T-3474422m,32.96199
978,A-2251370Z,44.934437
979,a13118905A,40.039593
980,o-5518912i,38.43561
981,r13112137S,46.412792
982,L-1172603K,41.73064
983,F15323913w,35.554016
984,b41466140L,31.961742
985,H-1126826u,50.28075
986,S80787227y,35.829914
987,g62902770K,75.80279
988,c21339742C,35.69379
989,o-8291576Q,76.30991
990,A16177147F,35.680046
991,V-7911017W,50.67729
992,I12484436u,38.53927
993,u-2985309w,45.589546
994,i-7675958l,46.63084
995,Z-2003336X,34.926495
996,R17548053Q,47.575123
997,T-3625019V,53.726307
998,G58798171H,32.629486
999,X14239142s,44.202763
1000,W-1663352r,33.649727
1001,R10053414j,34.563282
1002,E11344405c,35.30706
1003,E41968356d,56.234795
1004,n-1774226C,46.64113
1005,v50135109z,31.612566
1006,v-2502243y,34.141598
1007,k81607148Q,52.941154
1008,y-1159389K,42.760654
1009,Z-9551096Z,33.567772
1010,z73398830W,35.343708
1011,S-2180379V,34.659817
1012,Y19585916c,40.80703
1013,F-1772949E,39.291897
1014,N-4056140F,32.285797
1015,M20457206h,50.483498
1016,f-2054559Z,34.257423
1017,C-1947908i,32.939056
1018,Z-1004053E,32.035408
1019,E16706596Y,34.830208
1020,L-1236498L,32.052834
1021,M21428480q,70.58192
1022,g34212838O,73.343285
1023,i77678921h,49.025322
